FP130,FP130X,HE111,HE111S,HE111W,HE111X,HE112,HE112S,HE112V,HE112W,HH104,HH104X,HH215,HH215A,HH215M,HH216,NE203,NL110,NN220,NS101,SC111,SC112,SC112R,SM121A,SM122,SM122R,SM122X,SM131,SM221,SM221P,SM221X,SM223,SM239,SP211,SP211P,SP211R,SP212,SP212P,SP212R,SY110
A,,A,,,,B+,,,,B+,,,,,A-,A-,A-,A-,C+,C,C-,,,C+,,,,,,,A-,,B,,,B-,,,B
C,,A,,,,B,,,,B,,A,,,A,A,B,,A,V,,,,C,,,,B,,,,,V,,,V,,,B
B+,,,A-,,,,B,,,B-,,,,A-,B+,A-,A-,,B+,B,B+,,,B-,,,,C+,,,,C-,B+,,,B+,,,B-
B,,B+,,,,A,,,,A,,A,,,,A,A-,A-,B,A,B,,,A,,,,A-,,,,,A,,,B+,,,A
A,,B,,,,C+,,,,B,,,,,,,A-,,B,D+,RF,D,,D,,,,,,,,,,,,,,,C+
C,,,,C,,,,,C+,C,,A-,,,B-,C+,B,,D,D,D,,D,C,,,,,,,D,,D,,,RF;C,,,C
B-,,B,,,,B,,,,B+,,A,,,B,B+,B+,B,C,B-,C,,,C-,,,,,,,B-,C,C,,,B-,,,B
C,,C,,,,D+,,,,C,,,,,,,B,B+,B+,C+,D+,,,C-,,,,,,,,,,,,,,,C+
B-,,B,,,,B,,,,B+,,,A,,,B,C,A-,B,C+,C,,,C-,,,,,,,C,,C+,,,B+,,,B
V,,V,,,,,,,,,,,,,V,,,,,,,,,,,,,,,,,,,,,,,,
V,,A,,,,A,,,,A,,A,,,A,A,A,,A,A,A,,,A,,,,,,,A,,B,,,B,,,B
A,,B-,,,,A-,,,,A,,,,,,,A,,B-,B-,C,,,C-,,,,,,,,,,,,,,,B+
B,,,,A,,,,,,A,,A-,,,,,C,,C,C,C-,,,C+,,,,,,,,,,,,,,,B-
A-,,A,,,,A,,,,A-,,,,,,A-,B,A,B+,B,C+,,,B,,,,B-,,,,,A-,,,A-,,,B+
A,,A,,,,A,,,,B+,,,B,,B+,A-,A-,B-,B,C-,B-,,,B-,,,,,,,C+,,C+,,,B,,,B-
V,,,A-,,,,A,,,A,,,A,,A,A,A-,B,A-,A-,B+,,,A-,,,,A-,,,,,A-,,,A-,,,A-
B,,,B,,,,B,,,A,,A-,,,B+,A,B,,C,B,C,,,C,,,,C-,,,,,D+,,,C,,,B
A,,,A,,,,B,,,A,,B+,,,A-,A,A,,A,A,A,,,B,,,,,,,A,,B+,,,A-,,,A
A,,A,,,,A,,,,A,,,,,,,A,,A,A,A,,,A,,,,A,,,,,V,,,,,,A
B,,B,,,,B+,,,,A-,,,,A,B,B-,C+,B+,B+,B-,C,,,B+,,,,B,,,,,,,,,,,C+
A-,,B,,,,A-,,,,B,,A-,,,A,B+,B,A-,C,C-,C,,,B-,,,,,,,B,C,D+,,,C,,,C+
V,,A,,,,A,,,,A,,,,A,,,A,,A,A-,A,,,V,,,,,B-,,,,,,,,,,A
C,,B,,,,B,,,,C,,A,,,B-,B,B,,B,C,C,,,D,,,,D,,,,,C,,,C-,,,C
B,,B,,,,C+,,,,B-,,,,,,,B-,,D,D,RF,D+,,D,,,,,,,,,,,,,,,C-
B,,B,,,,B,,,,A,,,A-,,A,B+,A,,B,B,B,,,,,C,V,,,C,,,A-,,,B-,,,B
A,,,A-,,,,B+,,,B,,A-,,,B-,B+,A-,,A,A-,B+,,,V,,,,,B,,,,A-,,,B+,,,A-
V,,V,,,,,,A,,A,,A,,,B,A,A,,A,B,A,,,A,,,,A,,,,,A,,,A,,,A
A-,,V,,,,,,B+,,B+,,A,,,A,A-,A,B+,B-,V,,,,V,,,,V,,,,,,A,,A-,,,B+
V,,V,,,,,,,,A,,,,,,,A-,,A,A,A,,,V,,,,,A,,,,V,,,A-,,,A
A,,A,,,,B,,,,B,,,A,,A,A,A,,A,A,A,,,A,,,,A,,,,,,,,,,,A
A,,A,,,,A,,,,A,,,,A,,B,A,A,A,A,A,,,V,,,,,A,,,A,V,,,A,,,A
C+,,B-,,,,A-,,,,B,,C,,,,B-,A-,A-,C,D,D,,,C-,,,,,,,B-,C-,C-,,,D,,,C+
B+,,A-,,,,A,,,,A-,,,,B,A-,B-,A-,C,C,D+,C-,,,C-,,,,,,,B-,,C,,,D+,,,C
A,,A,,,,A-,,,,B-,,,,,A-,A,A,A-,B,A,B,,,C-,,,,C-,,,,,V,,,A-,,,B
B,,B,,,,B,,,,B,,B+,,,B-,B+,A,,C+,C-,C,,,C+,,,,,,,B-,,D+,,,B-,,,B
A-,,A,,,,A,,,,B+,,B,,,,C+,A-,B,B,B,C,,,C+,,,,C-,,,,,B,,,C-,,,B+
B+,,A-,,,,B-,,,,B+,,B,,,A,A-,A,,A-,B,B,,,B,,,,D+,,,,,B-,,,C+,,,B-
,A,,,,B,,,,C+,,C,D,,,C+,B,A,,B,C,D,,,B,,,,D+,,,,C,RF,,C+,C-,,,C
A,,V,,,,,,A,,B,,,A-,,A,A,A,,A,V,,,,V,,,,V,,,,,,A,,,A-,,A
A,,V,,,,,,,,A,,,,A,,,A,,A,A,A,,,V,,,,,A,,,,,,,,,,A
A,,V,,,,,,,,A-,,,,A,V,,A,,A,A-,A,,,A,,,,,,,,,,,,,,,A
B,,A-,,,,B-,,,,B,,,,B-,,C+,B+,,C,D+,C-,,C+,C-,,,,D,,,RF,,RF,,D+,C,,,D+
A,,A,,,,A,,,,A,,,A,,A,A,B+,A-,B,B-,B,,,C,,,,C,,,,,A-,,,B+,,,B+
B+,,B,,,,B+,,,,B+,,,,,,,B+,,B,D+,D+,,,C+,,,,,,,,,,,,,,,B
B,,A-,,,,B+,,,,A,,A-,,,,A,A-,B-,B-,B,C+,,,C+,,,,,,,B,B-,A-,,,B+,,,B+
C,,B,,,,B,,,,B-,,,,,,,B,,B-,D+,RF,C,,C,,,,,,,,,,,,,,,B-
B-,,B+,,,,A,,,,B,,,,,,,B,,B,C-,D,,,D,,,,,,,,,,,,,,,C
A,,B,,,,B,,,,B,,A,,,A,A,B,,A,C,C,,,B,,,,,,,A,,B+,,,A,,,B
B+,,V,,,,,,,,C,,B,,,,,A-,,B,C,C,,,A-,,,,,,,,,,,,,,,B
A,,B,,,,A,,,,B,,A-,,,B+,B+,B,,A,B,B,,,A,,,,,,,A,,B,,,B+,,,A
B,,A,,,,A-,,,,B+,,,,,A-,,B-,,B-,V,,,,V,,,,,C+,,,,,,,,,,A
B+,,A,,,,A,,,,B+,,,,B+,A,B+,A-,B,C,D+,D+,,,D,,,,,,,C,C-,C-,,,B+,,,B-
A,,V,,,,,,,,A,,,I,,,,A,,A,C+,C+,,,B-,,,,,,,,,,,,,,,A
A,,A-,,,,B+,,,,A,,A-,,,,A-,A-,B,B+,A-,A,,,A-,,,,B,,,,B-,A-,,,B,,,A-
A,,,B,,,,B,,,A,,A,,,B+,A,A,,A,V,V,,,A,,,,A,,,,,,A,,,A,,A
A-,,A,,,,B+,,,,A-,,A-,,,B-,A-,B+,A-,C+,C,C,,,C,,,,,,,B,B-,B-,,,C,,,B
A,,B,,,,A,,,,A,,A-,,,A-,A,A,,B,B,C,,,C,,,,,,,B,,B-,,,B,,,B
A,,V,,,,,,A,,A,,A,,,B,A,A,,B,B,B,,,,,A,V,,,A,,,B-,,,C,,,B
B,,B,,,,B,,,,B,,B,,,C+,B+,B,,B,B,B,,,B,,,,,,,A,C+,B-,,,B+,,,C
B+,,V,,,,,,A-,,A,,A,,,A,A-,A-,,B+,B-,B,,,B,,,,C+,,,,B-,A,,,B-,,,B+
,,B-,,,,,,,,C+,,,,,,,,,,C-,,,,V,,,,,D,,,,,,,,,,B
A,,B,,,,A,,,,B,,,B,,A-,A,A,,B,C,B,,,A,,,,,,,A,B,A-,,,B,,,A
A,,A,,,,A,,,,B,,B+,,,B+,A-,A,,A,A,A,,,A,,,,B+,,,,,V,,,V,,,A
V,,A-,,,,A,,,,B+,,B+,,,B,B-,A-,,C+,C-,D+,,,C-,,,,,,,C+,,A-,,,B-,,,B-
V,,V,,,,,,A,,A,,A,,,A,A,A,,A-,B,B,,,C+,,,,B,,,,,B-,,,A,,,A-
A,,,A,,,,A,,,A,,,A,,B+,A,A,,A,A,A,,,V,,,,,B,,,,A-,,,B,,,A
B-,,A,,,,A,,,,D+,,B,,,C,B,B-,C+,C,C,D,,C+,C+,,,,,,,C,D+,C-,,,D,,,B+
A,,V,,,,,,,,A,,,A,,,,A-,,A,B+,B,,,V,,,,,B+,,,,,,,,,,A
A-,,A,,,,A,,,,A,,A,,,A,A-,A,A,B+,B-,C,,,B+,,,,,,,A,,A-,,,B,,,B+
A,,A-,,,,A,,,,A,,,,A-,A,A-,A-,,B,A,B+,,,B+,,,,,,,A,C,B+,,,A-,,,A
B+,,A,,,,B-,,,,C-,,,,,,,A-,,B+,C+,C,,,B,,,,,,,,,,,,,,,B
B-,,B+,,,,B+,,,,D+,,,,A-,A,B-,C,B-,D,C-,C-,,,D+,,,,C-,,,,,C+,,,C+,,,D+
A-,,B,,,,A-,,,,B,,,,B+,A-,A-,A,A-,B+,B-,B-,,,C,,,,,,,B+,,C+,,,C,,,B+
A-,,A-,,,,A,,,,A-,,,B+,,A-,A,B+,B,B,C-,C,,,B-,,,,,,,B-,D,C+,,,C+,,,B
B,,A,,,,C,,,,B,,,B,,A-,A,A,,C,C,D,,,B;RF,,,,D,,,,,B-,,,C,,,B
D,,D,,,,C,,,,B,,,,B,B-,B+,C,,A,C,B,,,C,,,,C,,,,,B-,,,C+,,,B
W,,W,,,,,,,,,,,,,,,W,,W,W,,,,,,W,V,,,,,,,,,,,,
A,,B,,,,B,,,,B,,B,,,B+,A,A,,B,C,C,,,B,,,,,,,A,,A-,,,B+,,,B
C,,B,,,,B,,,,B+,,,,C,A,A-,B,B-,B,C+,D+,,,RF,C+,,,,,,C,C-,D+,,,D,,,B-
A,,A,,,,A,,,,A,,,,,,,A,,A-,B-,B-,,,B-,,,,A-,,,,,,,,,,,A-
A-,,A,,,,A-,,,,C,,,,,,,A,,A,A-,A-,,,A-,,,,,,,,,,,,,,,A
A-,,B+,,,,B+,,,,B,,A,,,A-,A-,A-,B,B+,D+,D+,,,D,,,,,,,B-,D,C,,,C+,,,B
C+,,,,B+,,,,,A,B+,,A,,,,A,B,B+,B,C,D+,,,C-,,,,,,,B,C,B-,,,B,,,A-
A-,,,A,,,,B+,,,A,,,,A-,A,A-,A-,B,B+,B,C+,,,B,,,,C,,,,,B,,,B-,,,B-
B+,,A,,,,A-,,,,B,,,,,,,B+,,D,B+,B,,,A-,,,,,,,,,,,,,,,B
,,,,,,,,,,,,,,,,A-,,,,,,,,,,,,,,,,A,,,,,,,
C+,,B,,,,B+,,,,B,,A,,,,B+,C+,B,B+,B+,B,,,B+,,,,D,,,,,B+,,,B-,,,B+
V,,B+,,,,B,,,,C+,,,,C+,C+,A,B,,B,B,B,,,C+,,,,,,,B-,,B-,,,B,,,B
A-,,A-,,,,A,,,,A,,A,,,,A,A,A,A,A,A,,,A,,,,A,,,,,A,,,A-,,,A
A,,V,,,,,,A-,,B,,A,,,A-,B+,A-,B,B,C,C,,,B,,,,C+,,,,,C,,,C-,,,B
V,,V,,,,,,,,B-,,,B+,,B+,,A,,B-,B,C,,,C-,,,,,,,,,,,,,,,B+
B,,B,,,,B,,,,B-,,,,,,,D+,B,C,D,D,,,B-,,,,,,,,,,,,,,,C
A-,,A-,,,,A,,,,A,,,,,,A,A,A,A-,B+,C+,,,A-,,,,A,,,,,B+,,,B+,,,B
V,,A,,,,A,,,,A,,A,,,A,A-,A,,A,B,A,,,A,,,,,,,A,,A,,,A,,,A
A,,A,,,,A,,,,A,,A,,,A,A,A,,A,A-,A-,,,A,,,,,,,A,A,A-,,,A,,,A
B-,,B+,,,,B+,,,,B,,C+,,,,B+,B-,,C,C,D,,,C,,,,,,,D,,C,,,B-,,,C+
B,,C,,,,B,,,,C,,B,,,B-,A-,B,,B,D,C,,B,C,,,,,,,C+,C,C,,,C-,,,C
B,,,,C-,,,,,A-,A-,,,,,,B,B-,B-,D,C-,D,,C-,C-,,,,,,,C,D,D,,,D,,,B
A-,,A-,,,,A-,,,,A,,A,,,A,A,A,,A,A,A-,,,A-,,,,A,,,,,A,,,A,,,A
B,,A,,,,B,,,,B,,,,,,,B+,,C,C-,D,,,D,,,,,,,,,,,,,,,C
A,,A,,,,A,,,,A,,,,,,,A-,,B,C,C,,,B,,,,,,,,,,,,,,,A-
B,,A-,,,,B-,,,,B-,,C+,,,B,A-,C+,,B-,D+,D+,,,C-,,,,,,,D+,D,C,,,D+,,,C-
A-,,B,,,,A-,,,,A,,A-,,,A,A-,B+,A-,B+,C,C,,,D+,,,,,,,B+,C,C,,,C+,,,B+
A,,B+,,,,B+,,,,D,,,,,,,A-,,C,RF;B,B-,,,,,,,,,,,,,,,,,,B
B+,,A-,,,,B,,,,A-,,B,,,B+,A-,B+,A,C+,C,C-,,,C,,,,B-,,,,,A,,,B+,,,C+
C+,,A,,,,B-,,,,A-,,C,,,B,B+,B-,B+,B,C-,D,,,C,,,,,,,C+,,C,,,C,,,C
D+,,A-,,,,C,,,,C+,,,,,,,B,,C,C,D+,,,C,,,,,,,,,,,,,,,C-
V,,,B+,,,,A,,,A,,A,,,V,A,A,,A-,A,B-,,,V,,,,,B+,,,,B,,,A-,,,A-
B,,,,C+,,,,,A-,C,,B,,,B,C,B-,C+,C+,C,D,,C+,C+,,,,,,,C,,D,,,C,,,C
B+,,A,,,,A,,,,A,,,,,,,A-,,B-,C-,C-,,,C+,,,,,,,,,,,,,,,B
A-,,B+,,,,B,,,,B-,,,C,,,B,C+,B-,C,C+,C,,,D+,,,,,,,C+,,C+,,,C-,,,B-
C+,,B+,,,,C+,,,,C,,D,,,B,B-,A-,,C+,C+,D+,,,C,,,,,,,C-,D+,B-,,,C,,,B-
B+,,B+,,,,B+,,,,A-,,,,,,,A-,,C+,C,C,,,C+,,,,,,,,,,,,,,,B
C-,,B+,,,,B,,,,C,,A-,,,B-,C,B-,,C+,C,D,,C+,B,,,,,,,C-,,C-,,,D,,,D+
B+,,B-,,,,A,,,,A-,,B+,,,C+,A,B+,,B,D+,B-,,,D+,,,,B,,,,,B,,,A-,,,B
B-,,V,,,,,,B,,C+,,,,C-,C,A,B-,B,A-,V,,,,D,,,,D,,,,,,B,,D+,,,B
B+,,A,,,,A,,,,A-,,,,A-,A-,A,A-,B-,B,C,D+,,B,B+,,,,,,,B-,,C+,,,C,,,C
A,,V,,,,,,,,A-,,,,,A,,A,,C,C,C-,,,B,,,,,,,,,,,,,,,B-
A-,,V,,,,,,,,A,,A,,,,,A,,A,B+,B+,,,B+,,,,,,,,,,,,,,,A
B,,,,B,,,,,A,C,,B,,,A,B,A,,C,C,D,,,D,,,,,,,C,,D,,,C-,,,C
A,,A,,,,A,,,,A-,,A,,,B+,A,A,A,A,A-,B+,,,A,,,,,,,A,A,A-,,,A,,,A
B,,B,,,,B,,,,A,,,B+,,A-,A-,A,,A,C,C,,,C,,,,B,,,,,A,,,B-,,,B
B,,A,,,,B,,,,B,,A-,,,C+,B-,B,,A,B,C,,,D,,,,C-,,,,,C,,,D+,,,B
A,,A,,,,B+,,,,B+,,,A-,,A-,A-,B-,B+,C,C,D,,,RF,C-,,,,,,C-,F,D,,,C,,,B
,,,,,,,,,,A-,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,C
C,,B,,,,A,,,,C,,B,,,B-,B-,B,,C,D,D,,B,B,,,,RF;C-,,,,,B,,,D,,,C
B+,,A-,,,,A,,,,B,,B+,,,B-,B+,A,C+,B-,C,C-,,C,C+,,,,,,,D,,D,,,D+,,,A
A-,,V,,,,,,A-,,B,,A-,,,A,A-,B+,A-,B-,B,C+,,,C,,,,B,,,,A-,A-,,,B,,,B+
D,,,,B,,,,,A-,B,,B+,,,,B+,B,B-,B-,D+,C-,,C,C-,,,,,,,D+,D,D+,,,D,,,C+
C-,,B-,,,,A-,,,,C,,A-,,,,C,B-,A-,C,D,RF;D+,RF,D,C,,,,,,,D+,,B-,,,D,,,C
B+,,A,,,,B+,,,,C+,,,B-,,B+,B+,A-,A-,B-,B,C-,,,D+,,,,,,,B+,,B+,,,B,,,C
V,,A,,,,A-,,,,A,,,,,A-,,B+,,B+,B-,B-,,,B+,,,,,,,,,,,,,,,B+
C+,,,,A,,,,,B,C+,,A-,,,B-,A-,B-,,C,C,D+,,,C,,,,,,,C,,C,,,C+,,,C
V,,A,,,,A,,,,B,,,,A-,B,B+,A,,B,B,A,,,V,,,,,D,,,,B-,,,B+,,,B
A-,,A,,,,A,,,,B,,B+,,,,B+,A-,B-,B+,B,B-,,,B+,,,,B-,,,,,C,,,B,,,B
A-,,B,,,,A,,,,A,,A-,,,B+,A-,A,A-,B,C,C-,,,B+,,,,B-,,,,,B-,,,B+,,,B
A,,A,,,,A,,,,A,,A,,,A,A,A,,A,V,,,,V,,,,,B,,,A,,B,,,B,,A
B,,B,,,,B,,,,C,,,,A-,B+,A,A,,B,V,,,,A,,,,B,,,,,,B,,,B-,,A
V,,,,,,,,,,,,,,,,,,,,,,,,V,,,,V,,,,,,,,,,,
V,,A,,,,A,,,,A,,A,,,B+,A,A,,A,B,A,,,A,,,,A,,,,A,,,,,,,A
A,,V,,,,,,C-,,B,,,,B-,,C+,C-,,C,D,C,,,D+,,,,,,,C,,A,,,B-,,,C+
A-,,A,,,,A-,,,,B+,,,,C+,B,B,B,B-,C,C,B,,,C-,,,,C,,,,,C,,,C-,,,C
B,,A,,,,A,,,,B+,,A,,,A,A-,A,B,B,B,B,,,B+,,,,,,,A,B,B+,,,C,,,B
B,,A-,,,,B,,,,B+,,,,C+,,A,C+,B,C,D+,D,,,C-,,,,,,,C-,D+,C,,,C,,,C+
A-,,V,,,,,,A-,,A,,A,,,A-,B-,A,,A-,A-,B,,,B-,,,,C,,,,,A,,,C+,,,B+
B+,,B,,,,A,,,,B,,,,,,,B+,,B,C,C,,,C+,,,,,,,,,,,,,,,A-
V,,V,,,,A,,,,A-,,A,,,A,A-,A,,B+,C,C-,,,B-,,,,C-,,,,,B-,,,C+,,,B+
B+,,A,,,,A,,,,A-,,,,B,A,B+,A,B+,C+,B,C,,,A,,,,,,,A,A-,A,,,A-,,,B+
B,,V,,,,,,B+,,A,,,B+,,A,A-,A,,C+,B,B-,,,V,,,,,B,,,,A,,,B+,,,B-
A-,,B,,,,B+,,,,B-,,,,,,,A-,,B,D,D,,,F,,,,,,,,,,,,,,,B+
C,,B,,,,A,,,,C,,B,,,A-,A-,A,,B,C,C,,B,B,,,,,,,C,,C,,,C+,,,C
A,,V,,,,,,A,,A,,,A,,A,A,A,,A,A,A,,,V,,,,,A,,,,V,,,,A,,A
B+,,A,,,,A-,,,,B+,,B,,,C,A,A,,B+,B,B-,,,B-,,,,,,,B+,A,B,,,B-,,,B-
B-,,V,,,,,,B+,,C-,,A,,,A-,B,A,,C,B,C,,,D,,,,D+,,,,,C+,,,B,,,C+
A,,A,,,,A-,,,,A,,,,A,A,A,A,A,A,A,A,,,,,B+,V,,,A,,,A,,,A,,,B
V,,V,,,,,,A-,,A,,,,A,,B,A,A-,A-,B,B,,,B,,,,,,,B+,,B,,,C,,,A-
A-,,A-,,,,A-,,,,B,,,,,,,B+,,B+,B-,C-,,,C,,,,,,,,,,,,,,,A-
B+,,B+,,,,A,,,,B+,,A,,,B+,B,A-,B-,C,D,D,,B,C,,,,,,,C,,D,,,C-,,,C+
V,,A,,,,A,,,,A,,,,A,B+,A,A,,A,B,B,,,B,,,,C,,,,,B-,,,B,,,A
C,,,,B,,,,,A,B,,B,,,C+,B-,A,,C;RF,D,D,,,D,,,,,,,C,,D+,,,D+,,,C
B-,,D,,,,F,,,,F,,,,,,,A,,C,D,F,,D,,,,,,,,,,,,,,,,F
B-,,B,,,,C+,,,,C,,,,B+,,B+,C+,C+,C,D+,D+,,,C,,,,D,,,,,B,,,C,,,C
V,,B,,,,A-,,,,A-,,A-,,,B+,A,A-,,B+,C,C+,,,,,C,V,,,C+,,C+,A-,,,B,,,A
,A,,,,A,,,,A,,A,,,,,A,A,A,A,A,A,,,A,,,,A,,,,,A,,,A,,,A
C,,B,,,,B,,,,B,,B,,,B,B,A,,C,B,D,,,C,,,,,,,C-,,C-,,,C+,,,C
B+,,V,,,,,,C,,B-,,,,B-,B,B,B,C,C,D,C-,,,C-,,,,,,,C,,D,,,D,,,B
B-,,,,A,,,,,,B,,,,,,,A-,,D,D,D+,,,D+,,,,,,,,,,,,,,,C
A,,B+,,,,A,,,,B+,,,,,,,A-,,A,B-,C+,,,A,,,,B,,,,,,,,,,,A
B+,,A-,,,,B-,,,,A-,,B,,,,A,B+,B-,B,C,D,,C,D+,,,,,,,C,,C,,,D,,,C
A-,,V,,,,,,B+,,A-,,,B,,B+,A-,A-,,A-,A-,A-,,,C-,,,,C,,,,B,A,,,B,,,A
A-,,A-,,,,B,,,,B+,,,,B,B-,B-,B+,C,C+,C-,D,,D,C-,,,,,,,C,,D+,,,D+,,,C+
V,,,B,,,,A,,,A,,B,,,A-,,A,,A,B,B,,,,,C,V,,,C,,,B,,,,,,A
A,,V,,,,,,,,A,,,A-,,,,A,,A,C,C,,,C,,,,,,,,,,,,,,,B+
A-,,A-,,,,B,,,,C,,B,,,,B,B+,C+,B-,B-,C+,,,B-,,,,B-,,,,,A-,,,B,,,B
V,,V,,,,,,A,,A,,,,A,A,A,A,,A,A,B,,,V,,,,,A,,,A,V,,,,A-,,A
A,,V,,,,,,B,,A,,B,,,A,A-,A,,A,B,B,,,A,,,,,,,A,B,B+,,,A-,,,B
A,,V,,,,,,A,,A,,A,,,,A,A,A,A-,B-,C+,,,B,,,,C+,,,,,A,,,A,,,A
A-,,B,,,,A,,,,B+,,A,,,B+,A-,B,B+,C,C,C+,,,B,,,,,,,B,,C+,,,C+,,,B
V,,V,,,,,,,,A,,A,,,,,A,,A,A,A,,,V,,,,,A,,,,,,,,,,A
B+,,A-,,,,A,,,,A,,,A-,,A,A,A,A,A,V,V,,,V,,,,,A,,,A,V,,,A,,,A
C-,,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,
B;RD+,,C,,,,B,,,,C-,,B,,,C+,W;B+,B-,C+,C,D,D+,,D+,C,,,,RF,,,C;W,,D;W,,RD+,F,,,D
B-,,B+,,,,C+,,,,C,,B,,,A-,B,C,B,C+,C,D,,,D,,,,,,,C-,D,C+,,,D,,,B-
A,,A,,,,A,,,,A,,A,,,A,A,A,A,A,A-,A,,,A-,,,,A-,,,,A-,A-,,,A-,,,A
B,,A,,,,A,,,,B,,C,,,B,A-,A-,,B+,B,B,,,B-,,,,,,,B-,,B-,,,B-,,,B+
B,,A,,,,B+,,,,B-,,A,,,B,B,B,B+,B,C,D+,,,C,,,,,,,B-,C,C+,,,C+,,,C
A,,A,,,,A,,,,A,,,,A,A,A,A,,A,A,A,,,A,,,,A,,,,,A,,,A,,,A
V,,V,,,,,,A,,A,,A,,,,A,A,A,B,V,,,,A,,,,A,,,,A-,,A,,B,,,A
C+,,A,,,,A,,,,C+,,,B,,,B+,A,A,B+,B-,B,,,B+,,,,A,,,,,A-,,,A-,,,A-
C,,A,,,,B+,,,,B,,,C,,,B+,A,,B-,B,C-,,,RF;C+,,,,,,,C-,,B-,,,C,,,B-
A,,V,,,,,,A,,A,,,B,,A-,B+,A,,A,B,C,,,C,,,,,,,B,,B-,,,C+,,,C
V,,A,,,,A-,,,,B,,B+,,,,B+,B,B+,B-,C-,C,,,C,,,,D+,,,,,A-,,,B,,,C+
C+,,A,,,,B,,,,B,,A-,,,A-,A-,A-,,B-,C+,C-,,,C+,,,,C-,,,,,C+,,,C,,,C
V,,A,,,,A,,,,A,,,,B+,A-,A,A,A,A-,B+,A-,,,A-,,,,B,,,,A-,A,,,B+,,,A
B,,A,,,,A,,,,A-,,,,,B,A-,A,A,A,B+,B+,,,B,,,,B,,,,,B+,,,C+,,,A-
B+,,,,C,,,,,A-,C+,,,,B+,,B-,C,B,D,C-,D+,,,D,,,,,,,C-,,D,,,C,,,C+
A,,A,,,,A,,,,A,,,A,,,A,A,A-,A-,V,,,,A-,,,,B,,,,,,A,,A-,,,A
B+,,A,,,,A-,,,,B,,B+,,,B-,B+,B,B,B,C+,C,,,B+,,,,,,,A,C-,B-,,,C+,,,C
A,,A-,,,,A,,,,A,,,,,,,B+,,A,A,A,,,A,,,,A,,,,,,,,,,,A-
V,,A,,,,A,,,,A-,,,B,,,,B,,B+,V,,,,V,,,,,A,,,,V,,,A,,,A
V,,A-,,,,A-,,,,B+,,,,,B,,B+,,A,B,B-,,,B,,,,A,,,,,,,,,,,A
A,,V,,,,,,,,B+,,B+,,,,,A,,A-,C+,B-,,,A-,,,,,,,,,,,,,,,B+
A,,B+,,,,B+,,,,B+,,,,,,,A-,,B,A-,A,,,A,,,,,,,,,,,,,,,A
V,,A,,,,A,,,,A,,,A,,A,A,A,,A,A,A,,,A,,,,,,,A,,A,,,B,,,A
V,,V,,,,,,,,A-,,,,,A,,A-,,B,A,A,,,A,,,,A-,,,,,,A-,,,,,A
,A-,,,,A-,,,,B,,B,,B,,A,A-,B+,A-,A-,A,B+,,,A,,,,,,,A-,A-,B,,,A-,,,B
C,,C,,,,B-,,,,B+,,A,,,B,B,B+,B,B,B-,C,,,C+,,,,,,,B-,,B-,,,B,,,B
C+,,,A,,,,A,,,A-,,,C+,,B,A,B+,A-,C,C,C,,,C-,,,,D,,,,,,,B-,B+,,,B
V,,A,,,,A,,,,A,,A,,,A,A,A,,A,A,A,,,A,,,,,,,A,B,B+,,,A,,,B+
B+,,B,,,,B+,,,,B,,A-,,,B+,A-,B+,A,B,A-,B,,,V,,,,,C,,,,A,,,A-,,,C
A,,B,,,,A,,,,B,,A,,,A,A-,A,,A,C,B-,,A,A,,,,,,,A,,B-,,,B+,,,B+
C-,,D+,,,,B+,,,,D,,C,,,C-,B+,B,B,C,C+,C,,,D,,,,,,,C-,D,C,,,B,,,C
V,,V,,,,,,A-,,A-,,A,,,B+,A,A,,A-,A-,A,,,V,,,,,A-,,,B,A,,,A,,,A
A,,A,,,,A,,,,A,,A-,,,A,,A,,A,V,V,,,V,,,,,B+,,,,,,,,,,A
V,,,A-,,,,B,,,A-,,,,B,A-,A-,A,B+,B,A-,B,,,A-,,,,A-,,,,,A,,,B,,,A
V,,B+,,,,B,,,,B+,,,,B-,B+,A-,B,,A-,C,C,,,C+,,,,C,,,,,B-,,,C+,,,B
B,,A,,,,A,,,,B,,B+,,,B,B+,B+,,C,C-,C,,,B-,,,,B,,,,C-,C,,,B,,,C-
V,,V,,,,,,,,A,,,,A,,,A,,A,A,A,,,A,,,,,,,,,,,,,,,A
B,,A,,,,C,,,,A,,A-,,,B,A-,B,,B,B,B,,,B,,,,C,,,,,A-,,,B,,,B
A,,A,,,,A,,,,A,,,,A,B,A-,A,,A,C,B,,,B,,,,,,,B+,B-,B,,,B,,,B
A-,,A-,,,,A-,,,,B,,A,,,B-,A,A,A-,A,A-,B+,,,A-,,,,,,,A,,A-,,,A,,,B+
V,,V,,,,,,,,A,,,,A,V,,A,,A,B+,A,,,B-,,,,A-,,,,,,,,,,,A-
A,,A,,,,A,,,,A,,,B,,A,B+,A,,A,B,B,,B,B,,,,D+,,,,,C-,,,B,,,B
A,,V,,,,,,A-,,B+,,,,B+,A-,A-,A-,A,A-,A-,B+,,,B,,,,B+,,,,,A,,,B+,,,B+
V,,A,,,,A,,,,A,,,A-,,A,A,A,,A,A,A,,,V,,,,,B,,,,A-,,,A,,,A
B,,A,,,,A,,,,A,,,A,,B-,B+,A,,A,B,A,,,,,A,V,,,A,,,B,,,B+,,,B
